xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ARG,2014-2019,FALSE,INC,tot,-.6404747,2017,U,U
ARG,2014-2019,FALSE,INC,b40,-1.4324658,2017,U,U
ARG,2016-2021,FALSE,INC,b40,-2.1897655,2011,U,U
ARG,2016-2021,FALSE,INC,premium,.33347011,2011,U,U
ARG,2016-2020,FALSE,INC,tot,-5.0842667,2011,U,U
ARG,2016-2021,FALSE,INC,tot,-2.5232356,2011,U,U
ARG,2016-2020,FALSE,INC,premium,-.57547781,2017,U,U
ARG,2016-2021,FALSE,INC,b40,-2.1897657,2017,U,U
ARG,2016-2021,FALSE,INC,m50,-2.7910813,2017,U,U
ARG,2016-2021,FALSE,INC,m50,-2.7910743,2011,U,U
ARG,2016-2021,FALSE,INC,premium,.33346931,2017,U,U
ARG,2016-2020,FALSE,INC,m50,-5.0957191,2017,U,U
ARG,2016-2020,FALSE,INC,m50,-5.0957227,2011,U,U
ARG,2016-2020,FALSE,INC,premium,-.57547283,2011,U,U
ARG,2016-2020,FALSE,INC,tot,-5.0842596,2017,U,U
ARG,2016-2020,FALSE,INC,b40,-5.6597395,2011,U,U
ARG,2016-2020,FALSE,INC,b40,-5.6597374,2017,U,U
ARG,2016-2021,FALSE,INC,tot,-2.523235,2017,U,U
ARM,2006-2011,FALSE,CONS,b40,1.2221073,2017,N,N
ARM,2006-2011,FALSE,CONS,m50,1.1518324,2017,N,N
ARM,2006-2011,FALSE,CONS,tot,1.0694818,2011,N,N
ARM,2006-2011,FALSE,CONS,premium,.15262735,2011,N,N
ARM,2006-2011,FALSE,CONS,b40,1.2221092,2011,N,N
ARM,2006-2011,FALSE,CONS,tot,1.0694836,2017,N,N
ARM,2006-2011,FALSE,CONS,m50,1.1518335,2011,N,N
ARM,2006-2011,FALSE,CONS,premium,.15262372,2017,N,N
ARM,2008-2013,FALSE,CONS,tot,-.08644354,2011,N,N
ARM,2008-2013,FALSE,CONS,m50,-.18661538,2011,N,N
ARM,2008-2013,FALSE,CONS,premium,-.62281156,2011,N,N
ARM,2008-2013,FALSE,CONS,premium,-.62281062,2017,N,N
ARM,2008-2013,FALSE,CONS,tot,-.08644348,2017,N,N
ARM,2008-2013,FALSE,CONS,b40,-.7092551,2011,N,N
ARM,2008-2013,FALSE,CONS,b40,-.7092541,2017,N,N
ARM,2008-2013,FALSE,CONS,m50,-.18661814,2017,N,N
ARM,2009-2014,FALSE,CONS,m50,2.4798172,2011,N,N
ARM,2009-2014,FALSE,CONS,b40,1.1794333,2011,N,N
ARM,2009-2014,FALSE,CONS,b40,1.1794367,2017,N,N
ARM,2009-2014,FALSE,CONS,premium,-1.6373338,2017,N,N
ARM,2009-2014,FALSE,CONS,tot,2.8167725,2011,N,N
ARM,2009-2014,FALSE,CONS,tot,2.8167706,2017,N,N
ARM,2009-2014,FALSE,CONS,m50,2.4798137,2017,N,N
ARM,2009-2014,FALSE,CONS,premium,-1.6373391,2011,N,N
ARM,2010-2015,FALSE,CONS,tot,3.8254685,2011,N,N
ARM,2010-2015,FALSE,CONS,b40,2.5118282,2011,N,N
ARM,2010-2015,FALSE,CONS,premium,-1.3136404,2011,N,N
ARM,2010-2015,FALSE,CONS,tot,3.8254685,2017,N,N
ARM,2010-2015,FALSE,CONS,m50,3.7196565,2011,N,N
ARM,2010-2015,FALSE,CONS,b40,2.5118274,2017,N,N
ARM,2010-2015,FALSE,CONS,premium,-1.3136411,2017,N,N
